molecule_chembl_id,,fix_smiles,standard_value,pic50
CHEMBL2011946,,Nc1cncc(Nc2ccc(Oc3ccc(Cl)cc3)cc2)c1,11800,4.928117993
CHEMBL2011947,,Nc1ncnc(Nc2ccc(Oc3ccc(Cl)cc3)cc2)n1,3200,5.494850022
CHEMBL3657931,,O=C(NS(=O)(=O)N1CC[C@H](O)C1)c1cc(C2CC2)c(OCC23CC4CC(CC(C4)C2)C3)cc1F,110,6.958607315
CHEMBL3657938,,O=C(NS(=O)(=O)N1CCCC1)c1cc(C2CC2)c(OCC23CC4CC(CC(C4)C2)C3)cc1F,1500,5.823908741
CHEMBL4068919,,C[C@]1(C(=O)O)CC[C@@](C)(c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c3c(N)nccn23)C1,30000,4.522878745
CHEMBL3657998,,O=C(NS(=O)(=O)C1CC1)c1cc(C2CC2)c(OCC2CCC(F)(F)CC2)cc1F,630,6.200659451
CHEMBL3662229,,O=C(NS(=O)(=O)C1CC1)c1cc(C2CC2)c(OCC2(C(F)(F)F)CCCCC2)cc1F,160,6.795880017
CHEMBL524992,,O=C(c1ccc(C(F)(F)F)cc1)N1CCC2(CCc3ccccc3O2)CC1,10000,5
CHEMBL3113255,,Nc1nc(-c2cccc(NC(=O)c3c[nH]c4ccccc34)c2)c[nH]1,30000,4.522878745
CHEMBL3113254,,CC(C)(C)OC(=O)n1cc(-c2cccc(NC(=O)c3c[nH]c4ccccc34)c2)nc1N,30000,4.522878745
CHEMBL3113253,,Nc1nc(-c2ccc(NC(=O)c3cc4ccccc4[nH]3)cc2)c[nH]1,30000,4.522878745
CHEMBL3113251,,CC(C)(C)OC(=O)n1cc(-c2ccc(NC(=O)c3cc4ccccc4[nH]3)cc2)nc1N,30000,4.522878745
CHEMBL320332,,Cc1ccc(C(=O)N=C(N)NCCc2ccc(Cl)cc2)cc1,8500,5.070581074
CHEMBL107354,,Cc1ccc(C(=O)N=C(N)NCCc2ccccc2)cc1,5650,5.247951552
CHEMBL4564010,,COc1cc(C(=O)NS(C)(=O)=O)c(F)cc1-c1cnc(OC2CCC2)c(Cl)c1,18000,4.744727495
CHEMBL4590389,,COc1cc(C(=O)NS(C)(=O)=O)ccc1-c1cnc(OC2CCC2)c(Cl)c1,17800,4.749579998
CHEMBL4459021,,COc1cc(C(=O)NS(C)(=O)=O)c(F)cc1-c1cnc(OCC2(C)CC2)c(Cl)c1,11000,4.958607315
CHEMBL4558539,,COc1cc(C(=O)NS(C)(=O)=O)ccc1-c1cnc(OCC2(C)CC2)c(Cl)c1,9300,5.031517051
CHEMBL1914835,,O=C(CCc1ccccc1)c1ccccc1OCC(O)CN1CCC(c2ccccc2)CC1,5000,5.301029996
CHEMBL1914844,,Cc1ccc(N2CCN(CC(O)COc3ccccc3C(=O)CCc3ccccc3)CC2)cc1,5000,5.301029996
CHEMBL3763934,,O=C(Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)C1CCc2cccc(=O)n21,30000,4.522878745
CHEMBL2107826,,O=C(Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)C1CCc2nccc(=O)n21,30000,4.522878745
CHEMBL3683244,,COc1cc(-c2ccc(F)c(F)c2)ccc1-c1cccc2c1CCN(S(=O)(=O)Nc1nncs1)C2,10000,5
CHEMBL192,,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,501187.23,3.300000003
CHEMBL1520,,CCCc1nc(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nn12,199526.23,3.700000003
CHEMBL2012030,,Nc1ccnc(Nc2ccc(Oc3ccc(C4CC4)cc3)cc2)n1,2000,5.698970004
CHEMBL2012042,,Nc1cncc(Nc2ccc(Oc3ccc(C4CC4)cc3)cc2)n1,3000,5.522878745
CHEMBL105997,,Cc1ccc(C(=O)N=C(N)NCCCc2ccccc2)cc1,5250,5.279840697
CHEMBL106356,,Cc1ccc(C(=O)N=C(N)NCCOc2ccccc2)cc1,14200,4.847711656
CHEMBL1938867,,Cn1c(SCc2ccc(C(C)(C)C)cc2)nc(N)cc1=O,200,6.698970004
CHEMBL1313991,,CC(C)(C)c1ccc(CSc2nc(=O)cc(N)[nH]2)cc1,300,6.522878745
CHEMBL4129030,,CS(=O)(=O)NC(=O)c1cc(F)c(COc2ccc(Cl)c(Cl)c2)cc1F,11000,4.958607315
CHEMBL4092912,,O=C(c1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)N1CCN(Cc2nnn(CC3CC3)n2)CC1,30000,4.522878745
CHEMBL4073137,,O=C(c1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)N1CCN(Cc2ccccn2)CC1,30000,4.522878745
CHEMBL3764774,,O=C(Cn1cnc2ccccc2c1=O)Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1,30000,4.522878745
CHEMBL255863,,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,5011872.34,2.3
CHEMBL3657939,,O=C(NS(=O)(=O)N1CCOCC1)c1cc(C2CC2)c(OCC23CC4CC(CC(C4)C2)C3)cc1F,14,7.853871964
CHEMBL1323,,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,100000,4
CHEMBL5203937,,Cn1nc(C(=O)O)cc1COc1cccc([C@@H](NC(=O)O[C@H]2CN3CCC2CC3)c2ccccc2)c1,100000,4
CHEMBL1078264,,CC1(c2ccccc2)CCCN(C(=O)NCc2ccc(-c3ccc4[nH]ccc4c3)cc2)C1,10000,5
CHEMBL3657972,,O=C(NS(=O)(=O)N1CCC1)c1cc(C2CC2)c(OCC2C3CC4CC(C3)CC2C4)cc1F,130,6.886056648
CHEMBL3617064,,O=C(NS(=O)(=O)N1CCC1)c1cc(C2CC2)c(O[C@H]2C3CC4CC2C[C@](Cl)(C4)C3)cc1F,22000,4.657577319
CHEMBL3325531,,O=C1C[C@@H](c2ccc(F)cc2)[C@H](COc2cc(F)c(S(=O)(=O)Nc3ncns3)cc2F)CN1,10000,5
CHEMBL4282052,,CCOc1cc(CN2CCC3(CC2)CC(=O)N(c2ccc(C(=O)O)cc2)C3)cc(OCC)c1-c1ccc(F)cc1,15000,4.823908741
CHEMBL1684585,,Nc1nc(CC(=O)Nc2ccc(C[C@@H]3CC[C@H]([C@H](O)c4ccccc4)N3)cc2)cs1,30000,4.522878745
CHEMBL3657848,,CC1(C)CCc2cc(OCc3cc(F)c(C(=O)NS(=O)(=O)N4CCC4)cc3Cl)ccc2O1,653,6.185086819
CHEMBL3662190,,CC1(COc2cc(F)c(C(=O)NS(=O)(=O)C3CC3)cc2C2CC2)CCC2(CC1)CC2,50,7.301029996
CHEMBL3662093,,O=C(NS(=O)(=O)N1CCC1)c1cc(C2CC2)c(OCC23CCCCC2C3)cc1F,160,6.795880017
CHEMBL3657930,,O=C(NS(=O)(=O)C1CC1)c1cc(Cl)c(OCC23CC4CC(CC(C4)C2)C3)cc1F,427,6.369572125
CHEMBL1480490,,O=C(COc1cccc2cccnc12)Nc1ccccc1N1CCOCC1,980,6.008773924
